id;uuid;account_status;last_visited;status_comment
1;71871e37-5858-41bc-983f-94364d103f2d;OFFLINE;2021-07-10T08:27:02;front-end
2;e439a507-3c0a-4484-b285-04f810045b03;ONLINE;2021-07-10T01:08:18;generating
3;780fded1-d257-4dd2-8222-dab09050fb22;OFFLINE;2021-07-10T11:59:16;payment protocol robust
4;20d16bb2-fd1d-4271-9b22-6e4b854cffe2;OFFLINE;2021-07-10T11:59:15;Organized
5;58fc7ff0-8be9-4113-8721-1b198aec04f2;BUSY;2021-07-10T13:39:03;black backing
6;1f65029f-071e-4bdd-8011-853f15131150;OFFLINE;2021-07-10T08:30:50;compress
7;9652992b-3f27-481f-92e7-3d7b08c5b2c7;OFFLINE;2021-07-10T08:55:53;Mexico Ergonomic
8;c7cddb9d-5bf1-4165-b03e-803d8cec8657;ONLINE;2021-07-09T18:55:06;metrics SQL Account
9;f794c4f0-470a-4fa9-b8ec-144c126e1662;OFFLINE;2021-07-10T12:59:10;Chicken connecting Gorgeous
10;e02f978b-743f-4b67-a9f7-3f324eea3e0e;ONLINE;2021-07-10T07:34:38;Common Brand Nuevo
