id;uuid;name;note;avatar
1;0b0b095f-5612-4bfa-97e5-ec855b96754a;mint South;forecast;../fake-data/blob/hipster.txt
2;e8b34f57-835c-4f71-9441-cff57dcb3e3b;framework redefine Cambridgeshire;Savings Chair;../fake-data/blob/hipster.txt
3;9fd2a6ed-c6e4-4523-b0aa-496c01d984d3;turquoise indigo Shoes;blockchains pixel Incredible;../fake-data/blob/hipster.txt
4;d16abd86-fa5c-4427-86fe-7edbc3902e2e;Buckinghamshire;Chief Data;../fake-data/blob/hipster.txt
5;fb7f922b-4964-40e1-9da4-9431ac33af47;info-mediaries;Accounts Borders;../fake-data/blob/hipster.txt
6;8ab5846b-392e-4bb0-95fa-5c566a1f9771;Outdoors;Practical Computer;../fake-data/blob/hipster.txt
7;af593cfc-07ea-4576-b48a-197add7b575f;Integrated;Utah Shoes content-based;../fake-data/blob/hipster.txt
8;09b247ba-f163-43ad-a640-b74c27da2894;salmon Developer;Shoes Shirt Granite;../fake-data/blob/hipster.txt
9;c330a9f3-ea16-4657-bf47-819e095c11a8;technologies;Manat Technician port;../fake-data/blob/hipster.txt
10;e504b25d-cbe5-489a-bf9f-ad61077ae864;synthesizing program Liberia;index 5th Tchad;../fake-data/blob/hipster.txt
