id;uuid;process_status;modified_class;created_date;modified_date;notes;deleted;priority_index;count_use
1;dd41741b-3ab0-449b-bb84-c5e2f1a17f2c;NOT_PROCESSED;panel;2021-07-10T01:18:06;2021-07-09T18:21:00;../fake-data/blob/hipster.txt;false;12635;45675
2;ad3b455b-b4ad-4769-8a61-f274e9ffb14c;NEED_HANDLE;mobile User-centric;2021-07-10T11:07:19;2021-07-09T18:51:45;../fake-data/blob/hipster.txt;false;87347;11
3;b321e3d7-1fe6-42b4-abd1-99ed11e64ccd;NEED_HANDLE_NOW;invoice;2021-07-09T17:34:05;2021-07-10T09:30:52;../fake-data/blob/hipster.txt;true;67147;81770
4;c020087a-81f8-4adc-87be-2b8a73648dc1;ERROR;copy Handcrafted;2021-07-10T13:54:29;2021-07-10T10:03:35;../fake-data/blob/hipster.txt;false;57171;15461
5;ec14bf25-344e-4e38-b50f-d4b239770cf2;NOT_PROCESSED;e-business ubiquitous;2021-07-09T16:37:52;2021-07-09T18:25:08;../fake-data/blob/hipster.txt;false;5714;58966
6;a4b9794b-eb77-46d9-a3c6-24f6cb888391;NEED_PROCESS_NOW;reciprocal Cheese paradigms;2021-07-10T00:04:51;2021-07-10T03:54:44;../fake-data/blob/hipster.txt;true;7049;58742
7;5199c677-3b0e-490e-9fb1-699e1fb1e10a;ERROR;client-server Mauritius Markets;2021-07-10T02:29:27;2021-07-10T09:57:14;../fake-data/blob/hipster.txt;false;17546;26323
8;bcbd70d1-fd9c-4f48-9f8f-0e0eedc7e4e3;NEED_PROCESS;Outdoors embrace bleeding-edge;2021-07-09T15:03:26;2021-07-10T00:26:09;../fake-data/blob/hipster.txt;false;31277;67567
9;a2efd4e6-51bf-43e6-831d-52b73b067bef;PROCESSED;global;2021-07-09T23:18:42;2021-07-10T09:17:02;../fake-data/blob/hipster.txt;false;36827;11997
10;5f218097-74f8-44f4-bde7-57d734c50bc6;DONE;Granite;2021-07-10T08:15:27;2021-07-09T23:50:43;../fake-data/blob/hipster.txt;false;47336;68595
