id;uuid;name_package;full_name;class_name
1;962007fb-6a91-435d-af9c-d0d078bc07c7;Metal Frozen Soft;throughput;Ireland
2;f44000d1-531e-4636-aad1-ce8a6aae8200;transmit Outdoors;vortals Mouse plug-and-play;frictionless HTTP
3;28ee411a-6738-4c4c-bdcf-320ab22b360d;violet Cambridgeshire Flat;Nauru;cross-media
4;2af0b4d9-f723-42b8-bb1a-535de6cf3c64;optimal Gibraltar connecting;user-centric compress;Grocery hacking Rubber
5;5865880f-a010-4628-8905-355be901abb6;bluetooth;Cambridgeshire;yellow navigating Cambridgeshire
6;0e99aecd-3707-44a2-9048-e45cc1183318;Pre-emptive copying;Plastic vertical;up Tuna
7;75ecb17a-ef6a-43f7-898e-1bf6e2a7e550;B2B Bedfordshire Peso;deposit PNG payment;transmit Corporate Devolved
8;6ba28e4a-aed8-42b6-b706-858a26c00af3;Music Metal;Assistant Paraguay;Georgia
9;608c3733-148a-4384-a2f1-5d9701e89baf;Pizza Liberia Optimization;Wyoming;TCP Frozen panel
10;925ecd7e-78d4-4a5d-9bb6-8a5041e24ed2;Research circuit Idaho;niches Pike web-enabled;paradigms Kentucky Refined
