id;uuid;device_name;device_type;device_status;last_visited;status_comment
1;3d6b2f7f-f5e3-48aa-80c0-be3720b0cb69;Associate withdrawal Singapore;LAPTOP;TEMPORARILY_ABSENT;2021-07-09T20:21:08;seize compress Automotive
2;68780c2b-098a-4cdc-b277-b55ac6fb38fb;Kids bus Frozen;OTHER_DEVICE;BUSY;2021-07-09T23:47:34;Principal synergize Granite
3;d61fb137-17b5-43aa-b447-13b7bb598ba4;conglomeration Kuwaiti;DESKTOP;BUSY;2021-07-10T14:00:11;up Oregon
4;d9e95193-2d34-4b7e-b5a1-1df0a1a4f1b6;Forward;OTHER_DEVICE;BUSY;2021-07-10T11:29:21;Computer Checking relationships
5;508d9630-f22d-45ad-9e12-d363ae22bd30;green;OTHER_DEVICE;ONLINE;2021-07-10T06:12:30;Awesome Senior
6;5b752a60-c311-4e39-bd0a-60fb30302ec8;Automotive responsive supply-chains;MOBILE;BUSY;2021-07-10T06:39:53;multi-byte payment
7;8b5f603e-732b-4b2b-80cb-1ad721e433f6;primary;DESKTOP;BUSY;2021-07-09T19:07:27;Dynamic
8;5b3412b6-db53-4aba-87cc-27a791fe87c1;Director;MOBILE;OFFLINE;2021-07-10T10:30:03;collaboration và International
9;66904d1a-76a2-40de-9bee-e6b4a45423fe;Electronics;MOBILE;OFFLINE;2021-07-10T09:46:15;Soft Function-based
10;0a8c3d3d-39c4-4a9d-9166-77c22651ae62;Berkshire;DESKTOP;TEMPORARILY_ABSENT;2021-07-10T00:23:19;Berkshire
