id;uuid;title;content;type;description;start_time;end_time;tag_line
1;b0f4ad5c-7a23-475f-aeda-87da3d18c2d9;array Mouse high-level;../fake-data/blob/hipster.txt;MONTH;../fake-data/blob/hipster.txt;2021-07-10T01:23:06;2021-07-10T08:12:49;monetize
2;984d52b9-f53e-4e20-984c-0dd74ec2f669;Metal;../fake-data/blob/hipster.txt;ONLY_ONE;../fake-data/blob/hipster.txt;2021-07-09T20:49:48;2021-07-10T00:14:59;discrete Gorgeous Representative
3;4e7a69a7-8405-4811-9b79-9832a333f89a;Fresh mint AI;../fake-data/blob/hipster.txt;YEAR;../fake-data/blob/hipster.txt;2021-07-09T17:49:42;2021-07-10T06:01:59;Cuban Fresh
4;927b094a-c456-45da-bd39-4e2001707572;Music Hill;../fake-data/blob/hipster.txt;MONTH;../fake-data/blob/hipster.txt;2021-07-09T22:49:20;2021-07-09T15:05:37;benchmark deposit Steel
5;2e493e89-fd3d-4b29-869d-d506eaefb14b;orchid Salad up;../fake-data/blob/hipster.txt;DAY;../fake-data/blob/hipster.txt;2021-07-10T02:23:30;2021-07-09T23:33:35;salmon
6;064af8e9-9302-4c32-ae2c-df2ae9083494;Rubber optimal;../fake-data/blob/hipster.txt;YEAR;../fake-data/blob/hipster.txt;2021-07-10T14:13:56;2021-07-10T14:30:08;clicks-and-mortar model Ball
7;7903c511-0faa-4464-99a8-8cf7d0a01d38;Moldovan;../fake-data/blob/hipster.txt;YEAR;../fake-data/blob/hipster.txt;2021-07-09T16:18:51;2021-07-09T23:26:41;integrate Unbranded Configuration
8;3670258a-ef4c-424d-b87b-2726f5ee771a;bandwidth invoice;../fake-data/blob/hipster.txt;DAY;../fake-data/blob/hipster.txt;2021-07-09T22:30:40;2021-07-10T05:31:33;Cabo Generic invoice
9;5e2a1327-d510-4f8f-99be-da153d883da1;Assurance;../fake-data/blob/hipster.txt;ONLY_ONE;../fake-data/blob/hipster.txt;2021-07-10T03:35:25;2021-07-10T09:46:50;empower
10;f8de7f67-5d43-47e6-845c-eec31bcf906f;Course;../fake-data/blob/hipster.txt;DAY;../fake-data/blob/hipster.txt;2021-07-10T06:07:38;2021-07-10T05:48:31;Handmade Grocery
