id;uuid;friend_type
1;fe870f85-f767-4435-90ea-296d4ed9b377;BEST_FRIEND
2;a1358572-3c56-4470-b13f-3ac62c3ec759;FRIEND
3;100caa9a-b11f-4150-85d6-87d8b229de83;FRIEND
4;53ac3881-12e8-41f7-b7d9-3a5626308e48;FRIEND
5;9ffc32da-c36d-4072-8601-d644e4b9df7d;BEST_FRIEND
6;2600eb24-2539-4425-a0d4-883443c1a0bf;BEST_FRIEND
7;aa26325f-2632-4d08-aab8-bcc51e831a80;FAMILY
8;90e7619e-0505-4b5e-90d3-5489abde2d6c;BEST_FRIEND
9;3fc554e0-2a2b-4c0a-a8db-082f0e7d991b;FRIEND
10;bbdae3f3-76b2-473c-95de-09d9f2d04a36;BEST_FRIEND
