id;uuid;name;width;height;quality;pixel_size;priority_index;data_size
1;67efeb0b-abd7-4c24-8f93-de66f075557c;JSON;59284;69699;0;84605;45136;41163
2;f2107c3d-9c90-40b4-967b-6c24fbe78dfb;Thụy;29686;92916;1;42422;23000;92189
3;9fb566ce-78db-4345-b412-5986f7d58a51;pixel;39574;7880;1;53735;15137;18261
4;1c6ada03-f5f8-4b14-b3c6-e1baadf703e5;mindshare Avon;62948;19023;1;2095;80489;43648
5;5b0319f6-ede1-4990-806b-32ec5fe0c15b;deposit;25218;58466;0;38384;42925;64508
6;fab1ec73-665f-4382-b167-2a876551d4cd;copy;92046;75210;1;89023;46200;36177
7;fab7dca5-e3e9-42fd-839d-1e4c537155a8;salmon Fantastic;95088;97641;0;75936;79154;52102
8;69535635-0f68-4fd2-8059-2affdf70b60f;Computers Pound;7896;11824;1;36592;54496;91203
9;78d1f368-04e0-4b22-8270-083435dc566e;Baby cyan web-readiness;3142;58283;0;14357;35881;9376
10;7d91cde1-e7be-4370-82b6-13c522fc50a7;Fantastic connecting instruction;35903;32768;0;36340;65647;3005
