id;uuid;group_name;avatar;add_by
1;ad45b5b2-d96a-4a7f-8b7d-528e851d2fd2;Concrete;../fake-data/blob/hipster.txt;object-oriented National
2;2b9d1769-fd3c-483b-bf64-bcd645ce2f2b;Table;../fake-data/blob/hipster.txt;Sausages functionalities
3;c5d2b410-3f98-4a80-a7c1-d50d77bd9ddc;Analyst;../fake-data/blob/hipster.txt;Wooden Iowa
4;1c7075a0-006d-45aa-86d0-dcd2521ea671;CSS Licensed;../fake-data/blob/hipster.txt;Implemented Legacy salmon
5;7144c06a-0330-41d7-afc2-373ec0b68fe0;Oman Berkshire invoice;../fake-data/blob/hipster.txt;enable systematic
6;d8248dda-c1e0-4c30-82cc-0a60f30f5782;pixel Cuban;../fake-data/blob/hipster.txt;transitional Rubber Towels
7;721c4d2a-4e29-4780-b4c6-d09fd1d44774;Avon haptic transmit;../fake-data/blob/hipster.txt;Paradigm synthesize
8;ea553350-2304-4950-8e15-dc2fd3669b0a;Triple-buffered virtual;../fake-data/blob/hipster.txt;solid application e-markets
9;b47f3fbb-040a-4ec7-b475-0fd069fe0cbf;payment;../fake-data/blob/hipster.txt;calculate Consultant indexing
10;14256a51-2968-4905-984d-97c8963854ca;Stravenue Refined Fantastic;../fake-data/blob/hipster.txt;Tasty Plastic
