id;uuid;jhi_read;jhi_write;share;jhi_delete;jhi_add;level
1;1939b91a-42d6-4af0-a364-30a57e92e9e9;false;true;false;true;true;5448
2;f70ccb65-3de0-4e61-bdb5-9ec983b50e09;true;true;true;false;true;85022
3;57e6a271-da78-4538-9080-7c3b3972555b;false;true;false;false;false;66662
4;93cd438c-844a-48f7-a189-e04ac3475a18;false;true;false;true;true;19081
5;1b8cbbdb-3e4f-4d41-ab89-733c3cdc6b30;true;true;false;true;false;35427
6;f4cd15bf-08ed-4f2e-b57d-3893717c78b0;false;true;false;false;true;5975
7;e101c542-23e6-47f1-bdc6-f435ba933303;true;true;false;true;false;58455
8;6116ee75-6707-43f1-a234-9241122243da;false;true;false;false;false;45096
9;5184331f-a7f2-43d7-82b8-8f4b0c89f8a6;false;true;false;false;true;83794
10;17f88cb8-e78c-45fb-ad3f-03d546f4ff62;true;false;true;false;true;13034
