id;uuid;name;width;height;quality_image;quality_audio;quality;pixel_size;priority_index;data_size
1;7a255232-42ad-4b34-8038-98d069f0e721;Chicken Money;83867;52677;0;1;1;79815;61916;77648
2;da744b80-ccec-4f2f-8405-ad6274dbc5a2;California invoice;62607;64076;0;1;0;92773;330;30222
3;d825d263-3864-45e7-80fd-9d306b90cfcd;Representative;52812;69452;0;1;0;14030;86073;73071
4;953a4a8f-76dc-41a9-b6d3-ec568a1e4078;architect Small Executive;53524;82786;0;1;0;57702;50881;8066
5;e562ca22-76d2-4f56-a7fc-e7472e4705a6;Global Innovative;2786;38493;0;1;0;55172;33968;58039
6;a8ac3951-78d7-4792-b74c-987da4510873;fuchsia Berkshire program;24423;88781;1;1;1;9202;30527;87043
7;4cd46206-8890-4362-8fdf-5cafe9e4417a;Licensed;49829;96064;0;0;1;99247;39079;68564
8;2bc78b9d-a1e9-47b4-9951-656e206c3567;end-to-end;78714;15379;1;0;1;56461;77620;97866
9;ab16cb23-30c1-4e76-9abd-b09244c87bd3;hack Tasty;69321;78889;0;0;1;83767;43267;68751
10;62728d31-de45-414c-94d9-fde014f9caf6;solution;59331;93543;0;1;0;82110;66640;13396
